Type,Name,Header
Talk,T1,./generated_talks.html#t1-vgt1-as-enhancer-of-zmrap27-impacts-flowering-time-and-gene-regulatory-networks-involved-in-jasmonate-signaling-in-maize
Talk,T2,./generated_talks.html#t2-decoding-a-complex-distal-non-coding-qtl-at-teosinte-branched-1
Talk,T3,./generated_talks.html#t3-cross-species-modeling-of-plant-genomes-at-single-nucleotide-resolution-using-a-pre-trained-dna-language-model
Talk,T4,./generated_talks.html#t4-quantitative-genetics-of-leaf-vascular-density-in-maize
Talk,T5,./generated_talks.html#t5-integrating-proximal-sensing-modalities-for-enhanced-prediction-of-agronomically-important-crop-traits
Talk,T6,./generated_talks.html#t6-crowdsourcing-phenotype-prediction-results-from-the-2024-g2f-prediction-competition
Talk,T7,./generated_talks.html#t7-ensuring-the-future-of-maize-a-call-for-collaborative-action
Talk,T8,./generated_talks.html#t8-translational-and-proteomic-analysis-of-cold-stressed-maize-reveals-ribosomal-protein-families-involved-in-cold-response-and-tolerance
Talk,T9,./generated_talks.html#t9-introgression-of-a-mexican-highland-chromosomal-inversion-into-temperate-maize-accelerates-flowering-promotes-growth-and-modulates-a-cell-proliferation-gene-network
Talk,T10,./generated_talks.html#t10-integration-of-phenomic-proteomic-and-genomic-data-into-a-multi-scale-network-unravels-missing-heritability-for-maize-response-to-water-deficit
Talk,T11,./generated_talks.html#t11-transcriptional-regulation-of-stress-adaptation-in-maize-identification-and-functional-annotation
Talk,T12,./generated_talks.html#t12-a-rootless1-knockdown-allele-affects-maize-nodal-root-development-increasing-rooting-depth-nitrogen-uptake-efficiency-and-grain-production-in-the-field
Talk,T13,./generated_talks.html#t13-overexpression-of-pstol1-like-genes-increases-maize-root-surface-area-and-biomass-under-low-and-high-phosphorus-conditions
Talk,T14,./generated_talks.html#t14-delayed-divisions-and-cell-elongation-defects-influence-plant-growth-in-katanin-mutants
Talk,T15,./generated_talks.html#t15-the-epf-erecta-ligand-receptor-pairs-regulate-maize-shoot-and-inflorescence-architecture-in-coordination-with-clavata-pathway-in-maize
Talk,T16,./generated_talks.html#t16-catalytic-and-non-catalytic-trehalose-6-phosphate-synthases-tpss-interact-with-ramosa3-to-control-maize-development
Talk,T17,./generated_talks.html#t17-exploring-the-effects-of-ethylene-related-transcription-factors-during-maize-shoot-development
Talk,T18,./generated_talks.html#t18-understanding-the-molecular-mechanism-of-parthenogenesis-in-cereals
Talk,T19,./generated_talks.html#t19-heat-treatment-and-uba2-fusions-enhance-lbcas12a-genome-editing-activity-during-haploid-induction
Talk,T20,./generated_talks.html#t20-molecular-evolution-of-the-ga-reproductive-barriers-in-maize-and-related-species
Talk,T21,./generated_talks.html#t21-long-distance-retrotransposons-direct-variable-gene-imprinting-in-maize
Talk,T22,./generated_talks.html#t22-deciphering-epigenetic-and-genetic-alterations-in-a-dna-methylation-mutant-through-successive-generations-of-self-fertilization-in-maize
Talk,T23,./generated_talks.html#t23-replication-timing-uncovers-a-novel-two-compartment-arrangement-of-maize-interphase-euchromatin
Talk,T24,./generated_talks.html#t24-determination-of-genetic-and-epigenetic-regulations-of-meiotic-recombination-during-domestication-in-maize
Talk,T25,./generated_talks.html#t25-deciphering-genetic-architecture-of-stalk-lodging-resistance-using-high-density-phenotype-map-in-maize
Talk,T26,./generated_talks.html#t26-aaf-plasticity-and-fitness-trade-offs-in-switchgrass-revealed-by-open-science-and-citizen-science-data
Talk,T27,./generated_talks.html#t27-inactivation-of-a-lysine-histidine-transporter-1-gene-confers-southern-leaf-blight-resistance-in-maize
Talk,T28,./generated_talks.html#t28-regulation-of-heterosis-associated-gene-expression-complementation-in-maize-hybrids
Poster,P1,./generated_poster_list.html#p1-an-ancient-origin-of-the-naked-grains-of-maize
Poster,P2,./generated_poster_list.html#p2-analysis-of-ga2-genome-structure-and-activity-reveals-widespread-distribution-of-functional-alleles-in-modern-maize-germplasm
Poster,P3,./generated_poster_list.html#p3-comparative-genomic-analysis-of-maize-and-its-wild-relatives-to-identify-loci-underlying-cold-tolerance-and-nitrogen-recycling
Poster,P4,./generated_poster_list.html#p4-comparative-grass-genomics-reveals-explosive-genome-evolution-in-maize-and-its-wild-relatives
Poster,P5,./generated_poster_list.html#p5-determination-of-genetic-and-epigenetic-regulations-of-meiotic-recombination-during-domestication-in-maize
Poster,P6,./generated_poster_list.html#p6-discovering-mechanisms-of-maize-abnormal-chromosome-10-ab10-meiotic-drive-through-comparative-genomics
Poster,P7,./generated_poster_list.html#p7-does-maize-diversity-mirror-human-diversity-across-the-americas
Poster,P8,./generated_poster_list.html#p8-evolution-of-the-protein-complex-involved-in-early-recombination-in-plants
Poster,P9,./generated_poster_list.html#p9-evolutionary-determinants-of-gene-expression-in-maize
